,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9
F56C9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutl-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcy-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zig-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ost-1,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcy-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syd-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T19C3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
srsx-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T10G3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpl-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
nmgp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grd-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plin-1,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tctn-1,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
let-2,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acsd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlc-3,0.0,0.0,0.98765427,0.0,0.0,0.0,2.1290185,0.0,0.0,0.0
cutl-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y37D8A.16,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,2.214349,4.291846
sem-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-4,22.064232,29.320139,9.876543,4.40044,22.860046,2.462751,6.3870554,9.324879,8.857396,6.4377685
tmem-231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cup-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cle-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lgc-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maoc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
elt-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsp-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
AH9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F53B3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abts-1,1.2257906,2.748763,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
C14B9.2,0.0,0.91625434,0.0,0.0,2.540005,6.1568775,0.0,1.8649758,0.0,0.0
dyf-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
C29F5.1,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
set-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbxc-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25D7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lev-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.214349,0.0
cpr-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lips-10,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
gpdh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y62F5A.9,2.4515812,9.162543,1.9753085,0.0,2.540005,4.925502,0.0,0.0,0.0,0.0
lntl-1,0.0,0.0,0.0,0.0,0.0,6.1568775,0.0,3.7299516,0.0,0.0
hgo-1,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y22D7AL.6,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14A11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7299516,0.0,0.0
cex-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dhs-8,20.83844,22.906359,11.851851,8.80088,7.620015,1.2313755,4.258037,1.8649758,15.500443,10.729614
F47B10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpz-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spp-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ftn-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
K02F2.5,0.0,0.0,0.0,0.0,0.0,7.3882527,0.0,0.0,0.0,0.0
odr-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R102.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y102A11A.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01G5.25,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
tir-1,1.2257906,1.8325087,0.98765427,0.0,0.0,3.6941264,0.0,0.0,0.0,2.145923
lact-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F57B1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ham-1,0.0,0.91625434,18.76543,13.201321,2.540005,1.2313755,0.0,16.784782,0.0,0.0
Y52B11A.12,1.2257906,4.5812716,0.98765427,8.80088,2.540005,0.0,4.258037,1.8649758,8.857396,6.4377685
ZC443.4,0.0,0.91625434,0.0,0.0,0.0,0.0,2.1290185,0.0,0.0,2.145923
dpy-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C34D1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F41D9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkb-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F28E10.1,0.0,0.0,0.0,0.0,2.540005,1.2313755,0.0,0.0,0.0,0.0
C53D6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C09F5.1,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctg-1,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145923
fos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fmi-1,0.0,0.0,0.0,0.0,0.0,6.1568775,0.0,1.8649758,0.0,0.0
spp-13,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odr-4,0.0,0.0,1.9753085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elo-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F44E5.4,1.2257906,0.0,3.950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clec-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-27,0.0,0.0,12.839505,15.401541,0.0,0.0,0.0,1.8649758,0.0,0.0
elf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cey-3,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11D5.1,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chs-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutl-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK455.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twk-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pes-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asns-2,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10D3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shk-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-62,2.4515812,2.748763,1.9753085,8.80088,5.08001,4.925502,0.0,7.4599032,8.857396,6.4377685
unc-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inx-13,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10C8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lron-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-5,0.0,0.91625434,1.9753085,19.801981,0.0,3.6941264,0.0,0.0,0.0,0.0
unc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857396,0.0
T13H5.1,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y71H2B.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fasn-1,13.483697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tppp-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,2.214349,0.0
pghm-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
tba-9,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,2.145923
cutl-17,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
F14B8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pat-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nphp-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hot-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qdpr-1,0.0,0.0,0.0,0.0,2.540005,0.0,0.0,0.0,0.0,0.0
glb-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C30G4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casy-1,0.0,0.0,0.98765427,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
ptd-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-7,0.0,0.0,0.0,0.0,5.08001,25.858885,0.0,0.0,22.14349,0.0
egl-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sox-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfh-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
aat-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnp-1,1.2257906,0.0,0.0,0.0,5.08001,1.2313755,0.0,1.8649758,0.0,0.0
F53A9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F16C3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vab-3,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
cpn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsp-70,0.0,0.0,8.888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F47E1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mig-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W02D7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glr-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32D8.7,0.0,0.0,0.0,2.20022,0.0,0.0,0.0,0.0,0.0,0.0
glna-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkb-7,3.6773717,3.6650174,3.950617,4.40044,2.540005,0.0,0.0,0.0,6.6430473,2.145923
dos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F43C9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C26F1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pros-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25G6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbxb-74,9.806325,18.325087,9.876543,13.201321,7.620015,7.3882527,19.161167,7.4599032,19.929142,10.729614
cutl-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shc-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
K08F9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK856.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K07E3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK822.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mec-12,0.0,0.0,0.0,0.0,0.0,0.0,2.1290185,0.0,0.0,0.0
pqn-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R02E12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK1307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
lon-2,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C40H1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01E8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icl-1,0.0,1.8325087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eri-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ift-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F42G8.19,0.0,0.0,0.0,2.20022,0.0,0.0,0.0,0.0,0.0,0.0
F59E11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F54E4.3,0.0,0.0,0.98765427,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
egl-13,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0228.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpx-5,0.0,0.0,0.0,0.0,2.540005,0.0,0.0,0.0,0.0,0.0
C01H6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sym-1,24.515812,0.0,0.0,0.0,2.540005,0.0,0.0,0.0,2.214349,0.0
