0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1,1,1,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,3,0,0,0,0,3,0
0,0,0,0,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,3,0
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,2,0,0,0,0,0,2
0,0,0,2,5,0,0,2,2,4,0
0,0,1,0,6,0,0,0,0,5,0
0,0,1,0,7,0,0,0,0,0,3
1,1,2,0,8,2,1,0,3,6,0
0,0,0,0,4,0,0,0,0,0,1
0,2,1,0,2,0,0,0,0,0,4
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,9,3,0,3,4,7,5
0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,8,4,0,3,0,0,6
0,0,0,0,0,0,0,0,0,0,0
1,1,2,0,8,2,1,0,3,6,0
0,2,1,0,2,0,0,0,0,0,4
0,3,1,0,8,0,0,0,0,0,7
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
1,1,2,0,8,2,1,0,3,6,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,3,0,0,0,0,3,0
0,2,1,0,2,0,0,0,0,0,4
0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,1
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,3,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,4,0,0,0,0,0,1
0,0,0,3,11,0,0,0,0,9,0
0,0,0,0,10,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,12,0,0,0,0,10,0
0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,13,0,0,0,0,11,0
0,2,1,0,2,0,0,0,0,0,4
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,4,0,0,0,0,0,1
0,4,1,0,14,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,7,0,0,0,0,0,3
0,0,0,0,10,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,12,0,0,0,0,10,0
0,5,1,0,2,0,0,0,0,0,9
2,6,3,0,15,5,0,0,5,12,0
0,0,4,5,16,0,0,0,0,13,0
0,2,1,0,2,0,0,0,0,0,4
0,0,1,0,2,0,0,0,0,0,2
0,2,1,0,2,0,0,0,0,0,4
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,4,0,0,0,0,0,1
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,2,0
0,2,1,0,17,0,0,0,0,0,7
0,0,0,6,7,0,0,0,0,14,0
0,0,0,1,2,0,0,0,0,2,0
3,2,1,0,2,0,0,0,0,0,10
0,0,0,1,2,0,0,0,0,2,0
4,7,1,0,8,6,0,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
3,2,1,0,2,0,0,0,0,0,10
0,2,1,0,2,0,0,0,0,0,4
0,0,0,0,4,0,0,0,0,0,1
0,0,1,0,7,0,0,0,0,0,3
0,0,0,0,4,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,2,0
0,0,0,6,7,0,0,0,0,14,0
0,0,0,4,13,0,0,0,0,11,0
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,7,0,0,0,0,0,3
0,0,0,0,3,0,0,0,0,3,0
0,0,1,0,7,0,0,0,0,0,3
0,0,1,0,2,0,0,0,0,0,2
0,2,1,0,2,0,0,0,0,0,4
0,0,1,0,2,0,0,0,0,0,2
2,6,3,0,15,5,0,0,5,12,0
0,2,1,0,17,0,0,0,0,0,7
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
1,1,2,0,8,2,1,0,3,6,0
0,0,1,0,2,0,0,0,0,0,2
0,2,1,0,2,0,0,0,0,0,4
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,2,1,0,2,0,0,0,0,0,4
0,0,0,1,2,0,0,0,0,2,0
0,2,1,0,2,0,0,0,0,0,4
0,0,4,5,16,0,0,0,0,13,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,9,3,0,3,4,7,5
0,0,1,0,7,0,0,0,0,0,3
2,6,3,0,15,5,0,0,5,12,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,9,3,0,3,4,7,5
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,3,11,0,0,0,0,9,0
0,0,0,1,2,0,0,0,0,2,0
0,2,1,0,2,0,0,0,0,0,4
0,0,0,1,2,0,0,0,0,2,0
0,0,0,3,11,0,0,0,0,9,0
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
1,1,2,0,8,2,1,0,3,6,0
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,7,0,0,0,0,0,3
0,5,1,0,2,0,0,0,0,0,9
0,0,0,1,2,0,0,0,0,2,0
1,1,2,0,8,2,1,0,3,6,0
0,2,1,0,17,0,0,0,0,0,7
0,0,0,0,4,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,4,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,10,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,2,0,0,3,6,15,12
0,0,0,0,18,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2
0,4,1,0,14,0,0,0,0,0,8
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,2,0,0,0,0,0,2
0,0,0,7,19,0,0,0,0,16,0
0,0,0,0,4,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,7,0,0,0,0,0,3
0,0,0,1,2,0,0,0,0,2,0
0,2,1,0,17,0,0,0,0,0,7
0,0,1,0,2,0,0,0,0,0,2
0,2,1,0,2,0,0,0,0,0,4
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0
4,7,1,0,8,6,0,0,0,0,11
0,0,1,0,2,0,0,0,0,0,2
1,1,2,0,8,2,1,0,3,6,0
0,2,1,0,2,0,0,0,0,0,4
0,0,1,0,7,0,0,0,0,0,3
0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,2,0
0,5,1,0,2,0,0,0,0,0,9
0,0,1,0,7,0,0,0,0,0,3
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,4,7,0,4,7,17,0
0,0,1,0,2,0,0,0,0,0,2
0,4,1,0,14,0,0,0,0,0,8
0,0,1,0,2,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,2,0
0,0,1,0,2,0,0,0,0,0,2
0,2,1,0,17,0,0,0,0,0,7
0,0,1,0,2,0,0,0,0,0,2
0,0,0,1,2,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,2,0,0,0,0,0,4
0,0,0,1,20,0,0,0,0,9,0
0,0,0,1,2,0,0,0,0,2,0
1,1,2,0,8,2,1,0,3,6,0
0,0,0,1,2,0,0,0,0,2,0
0,0,0,1,2,0,0,0,0,2,0
0,4,1,0,14,0,0,0,0,0,8
0,0,0,0,3,0,0,0,0,3,0
0,0,0,0,10,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,2,0
0,2,1,0,17,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,21,0,0,0,0,3,0
0,0,0,3,22,0,0,0,0,9,0
0,0,1,0,2,0,0,0,0,0,2
0,0,1,0,2,0,0,0,0,0,2
2,6,3,0,15,5,0,0,5,12,0
0,0,0,1,2,0,0,0,0,2,0
0,2,1,0,2,0,0,0,0,0,4
