regulatory_gene	target_gene	regulation_strength
ceh-32	F56C9.8	0.10479311028812566
ceh-32	cutl-16	0.3716160732433442
ceh-32	mlc-1	0.30929671539483583
ceh-32	gcy-33	0.29659959599633645
ceh-32	zig-7	0.2925581110010164
ceh-32	gcy-34	0.29228879210670217
ceh-32	T19C3.3	0.23664510103789996
ceh-32	srsx-30	0.2601647454078734
ceh-32	T10G3.1	0.19664444610350695
ceh-32	nlp-33	0.2743657734737674
ceh-32	cpl-1	0.2410101190307868
ceh-32	hlh-1	0.2939987927857037
ceh-32	grd-10	0.21767062577260937
ceh-32	plin-1	-0.22531495690621695
ceh-32	tctn-1	0.27117040114805613
ceh-32	let-2	0.22872655376715878
ceh-32	acsd-1	0.2248413827129506
ceh-32	mlc-3	0.22663178891418345
ceh-32	cutl-24	0.17858511923533432
ceh-32	Y37D8A.16	-0.12937866492695874
ceh-32	sem-4	0.16728284935966065
ceh-32	hil-4	0.22590144649855887
ceh-32	tmem-231	0.20590445064747023
ceh-32	nlp-29	0.2269572466116907
ceh-32	gst-5	0.15564657700296577
ceh-32	cle-1	0.16072242696701078
ceh-32	lgc-31	0.23105321140873625
ceh-32	col-166	0.14775301702880805
ceh-32	maoc-1	-0.21797908294830629
ceh-32	elt-7	-0.17105383591916412
ceh-32	hsp-12.3	0.1641553651336396
ceh-32	AH9.6	0.15074780988713626
ceh-32	F53B3.3	-0.13122135125187107
ceh-32	abts-1	0.10026760700681692
ceh-32	C14B9.2	0.1514491375668942
ceh-32	dyf-1	0.13742064266666443
ceh-32	C29F5.1	0.16699296048691425
ceh-32	set-18	0.1935677691884246
ceh-32	deg-1	0.1507357343146346
ceh-32	fbxc-20	0.1799245483468338
ceh-32	lec-3	0.1952240514125601
ceh-32	Y62F5A.9	0.08885275083764575
ceh-32	Y22D7AL.6	0.17396286455693716
ceh-32	F47B10.8	0.07943553767990146
ceh-32	ftn-2	-0.059328426959525976
ceh-32	odr-2	-0.07311164743657539
ceh-32	C01G5.25	-0.07444092468273568
ceh-32	tir-1	-0.07308208617466545
ceh-32	cnc-3	0.1740104456336875
ceh-32	F57B1.6	0.17478273667636166
ceh-32	ZC443.4	-0.05512654997553261
ceh-32	F28E10.1	0.07934886511428349
ceh-32	ctg-1	-0.06618862035739281
ceh-32	odr-4	0.05466534828803725
ceh-32	F44E5.4	-0.0679725938795769
ceh-32	unc-43	-0.0626728076758044
ceh-32	cutl-18	-0.06674283265002191
ceh-32	osm-11	0.09974187693903075
ceh-32	ZK455.5	-0.09984967172608852
ceh-32	K10D3.6	0.08003457921837098
ceh-32	inx-13	-0.0872473895942786
ceh-32	hil-5	0.09542709183741718
ceh-32	fasn-1	0.06473104685644927
ceh-32	pghm-1	0.07064052823580186
ceh-32	tba-9	0.13431528260241987
ceh-32	F14B8.5	0.06388215410870486
ceh-32	pat-10	0.07206598772573773
ceh-32	C30G4.4	-0.10536169389906877
ceh-32	ttn-1	0.06669585884201103
ceh-32	hil-7	-0.1394182030462397
ceh-32	egl-21	-0.06038980576985767
ceh-32	sox-4	0.05399993130279313
ceh-32	fkb-7	0.05187262569583216
ceh-32	C25G6.1	0.1321306151854585
ceh-32	fbxb-74	0.21481304685022287
ceh-32	pqn-48	0.1723278484042276
ceh-32	ZK1307.1	-0.05938868599069753
ceh-32	lon-2	0.08737956707229484
ceh-32	icl-1	0.07014249994997321
ceh-32	F54E4.3	0.10096112655369574
ceh-32	F08B12.4	0.06560645312886261
ceh-32	F46F2.5	0.056799616311680595
ceh-32	mig-18	0.06631246242228193
ceh-32	gst-24	-0.05422895136810675
ceh-32	grd-5	0.06886114593922374
ceh-32	unc-83	0.07617366482479267
ceh-32	cab-1	0.07699346151681252
ceh-32	che-13	0.06405256063785211
ceh-32	F14D12.1	0.06625936835436583
ceh-32	lec-8	0.05534966699726545
ceh-32	F07C6.4	0.08021711666157141
ceh-32	ceh-31	0.05092389889774089
ceh-32	C50B8.4	0.0687559171645765
ceh-32	ast-1	0.05173735201294241
ceh-32	C26B9.3	0.079942443859266
ceh-32	lpr-1	0.06514707021641639
ceh-32	asp-4	0.10035150691764647
ceh-32	pdl-1	0.05352099304703231
ceh-32	lgc-47	0.058942097523041
ceh-32	bbs-8	-0.05095874711677037
ceh-32	daf-19	-0.0508616222487033
ceh-32	sams-1	0.06976079560452171
ceh-32	fbxa-4	0.05281735091755699
ceh-32	cof-2	-0.06098400850369318
ceh-32	D2092.4	0.06909977549910908
ceh-32	C17G1.5	-0.051045575994598726
ceh-32	sym-2	0.08435162029964946
tbp-1	F56C9.8	0.10569311916897908
tbp-1	cutl-16	0.41262603929649483
tbp-1	mlc-1	0.3116223687717794
tbp-1	gcy-33	0.30104775096789604
tbp-1	zig-7	0.2941466710807623
tbp-1	T19C3.3	0.23718114721705355
tbp-1	T10G3.1	-0.15081047860167932
tbp-1	cpl-1	0.2410101190307868
tbp-1	hlh-1	0.31255006334885516
tbp-1	grd-10	0.22875840004810877
tbp-1	plin-1	-0.24853080675199807
tbp-1	tctn-1	0.2851654552794757
tbp-1	acsd-1	0.22134353397011527
tbp-1	cutl-24	0.1817419634943037
tbp-1	Y37D8A.16	-0.05651214589570563
tbp-1	sem-4	0.1908149206986325
tbp-1	hil-4	0.22134663184798592
tbp-1	tmem-231	0.23362465370130875
tbp-1	nlp-29	0.21461094267340858
tbp-1	gst-5	0.15660409862591979
tbp-1	cle-1	0.1723752856157249
tbp-1	col-166	0.14930066505008482
tbp-1	maoc-1	-0.19962803957602532
tbp-1	elt-7	-0.18471265327961411
tbp-1	AH9.6	0.17172108522730564
tbp-1	F53B3.3	-0.13190983277758692
tbp-1	abts-1	-0.053371324855777925
tbp-1	C14B9.2	0.17695589508709914
tbp-1	dyf-1	0.17361261708735304
tbp-1	deg-1	0.18394796127602914
tbp-1	lev-11	-0.10070394467033238
tbp-1	gpdh-1	0.06465868366995242
tbp-1	Y62F5A.9	0.0504745549398356
tbp-1	lntl-1	0.06825988925726113
tbp-1	hgo-1	0.06321931500203018
tbp-1	dhs-8	-0.06868129993903728
tbp-1	cpz-1	-0.05931748980216699
tbp-1	ftn-2	-0.050716707293592865
tbp-1	odr-2	-0.05431135403022778
tbp-1	C01G5.25	-0.07091328072132239
tbp-1	tir-1	-0.07571036281936697
tbp-1	F57B1.6	0.07048898057872895
tbp-1	ZC443.4	-0.05178440023441733
tbp-1	F41D9.2	0.0642878843506978
tbp-1	F28E10.1	0.11963778898297021
tbp-1	C09F5.1	0.07242439762366586
tbp-1	spp-13	0.051017977189058414
tbp-1	clec-1	0.05870366477103574
tbp-1	F11D5.1	0.2126770408928316
tbp-1	unc-43	0.09439373013290048
tbp-1	cutl-18	-0.05488258484920117
tbp-1	asns-2	-0.06769459547310233
tbp-1	K10D3.6	0.09740597089986405
tbp-1	lron-13	0.15158206336041077
tbp-1	hil-5	0.06637646195976267
tbp-1	fasn-1	-0.075625007359641
tbp-1	F14B8.5	0.07976555954309916
tbp-1	nlp-57	0.0715491101326543
tbp-1	C30G4.4	0.12933679259164005
tbp-1	ttn-1	0.09993401089735064
tbp-1	mnp-1	0.0675005453384441
tbp-1	C26F1.1	-0.077165396007014
tbp-1	ZK822.1	-0.060354809052235156
tbp-1	ZK1307.1	-0.05249319344754669
tbp-1	F54E4.3	0.06387258926006806
tbp-1	sym-1	0.06582949730234666
tbp-1	tns-1	-0.052058739191583873
tbp-1	F08B12.4	0.06233171440128081
tbp-1	K07C11.4	0.09746980959669777
tbp-1	ZK287.1	0.07386351139973811
tbp-1	pgal-1	-0.058393746213675005
tbp-1	mig-1	-0.0562597830722555
tbp-1	che-13	0.06405372983801749
tbp-1	ZK643.2	0.066243699405661
tbp-1	ets-5	0.06297180644331746
tbp-1	fbn-1	-0.05067934762615532
tbp-1	msa-1	0.05096326335438254
tbp-1	nuc-1	0.06012918569326939
tbp-1	K10D3.4	0.06320445628433939
tbp-1	arl-3	0.0571280390523383
tbp-1	pdl-1	0.059414140670637695
tbp-1	psa-3	-0.05443160481571051
tbp-1	sams-1	-0.05158230301792141
tbp-1	E02A10.3	0.05397895825685982
tbp-1	cof-2	-0.060941464546508964
tbp-1	lin-39	0.05460619045504152
tbp-1	C17G1.5	-0.06389606496110095
tbp-1	sym-2	0.08980675788304046
ttx-1	F56C9.8	0.1757289269089673
ttx-1	cutl-16	0.42162426560914423
ttx-1	mlc-1	0.3516401765085644
ttx-1	gcy-33	0.3358947469314859
ttx-1	zig-7	0.3320497702142008
ttx-1	gcy-34	0.2890489275031618
ttx-1	syd-9	-0.11216189800547527
ttx-1	T19C3.3	0.2789243720582701
ttx-1	nlp-33	0.29541468011907746
ttx-1	cpl-1	0.29210041780227236
ttx-1	hlh-1	0.3213410323907966
ttx-1	grd-10	0.2670097962137241
ttx-1	col-98	0.28290589859470017
ttx-1	plin-1	-0.2686162780731898
ttx-1	tctn-1	0.27982294012843556
ttx-1	let-2	0.24561743338248715
ttx-1	acsd-1	0.2337400429650876
ttx-1	mlc-3	0.20725349207261234
ttx-1	cutl-24	0.23405399901777618
ttx-1	Y37D8A.16	-0.050866085224115065
ttx-1	sem-4	0.21815037626067663
ttx-1	hil-4	0.24034406140826792
ttx-1	tmem-231	0.21459062580032684
ttx-1	nlp-29	0.22368793017036953
ttx-1	gst-5	0.21071823916344767
ttx-1	cle-1	0.19620432510219663
ttx-1	col-166	0.20536985863349028
ttx-1	maoc-1	-0.2176535913385333
ttx-1	elt-7	-0.20614750783686883
ttx-1	AH9.6	0.1911713305337343
ttx-1	F53B3.3	-0.18822338606162883
ttx-1	C14B9.2	0.17434401188367854
ttx-1	dyf-1	0.17125897618135472
ttx-1	C29F5.1	0.1820100044342979
ttx-1	set-18	0.0730258078250975
ttx-1	deg-1	0.1749568308404485
ttx-1	fbxc-20	0.1955832477415721
ttx-1	lec-3	0.20352599094577356
ttx-1	lev-11	-0.051389846820869174
ttx-1	gpdh-1	0.15012472843738556
ttx-1	lntl-1	0.05012094318852781
ttx-1	cpz-1	0.21033280795779993
ttx-1	K02F2.5	-0.07304472923925077
ttx-1	odr-2	-0.10631512689442597
ttx-1	F57B1.6	0.07144804979726374
ttx-1	F41D9.2	-0.06079183796743118
ttx-1	ctg-1	-0.05436777979736706
ttx-1	spp-13	0.07300659604996287
ttx-1	elo-6	-0.0905552813998257
ttx-1	F44E5.4	-0.05884972306020516
ttx-1	clec-1	0.07994272259276759
ttx-1	unc-43	-0.06486025471488319
ttx-1	cutl-18	-0.0607038932264235
ttx-1	hil-5	0.07118507323387516
ttx-1	tba-9	0.1378374774006909
ttx-1	F14B8.5	0.05580087846333118
ttx-1	pat-10	0.051624571811148524
ttx-1	egl-21	-0.05700099302114432
ttx-1	cpn-1	-0.08929006571884161
ttx-1	mig-6	-0.05121889494021646
ttx-1	glr-2	-0.061484442765318253
ttx-1	C26F1.1	-0.05236800723685851
ttx-1	C25G6.1	0.05297711508088601
ttx-1	fbxb-74	0.05171911112585864
ttx-1	cutl-15	-0.05774147720221146
ttx-1	shc-2	0.05920331499108575
ttx-1	ZK856.5	-0.06796844073147358
ttx-1	K07E3.4	0.07519285559745893
ttx-1	ZK822.1	-0.08218280193315387
ttx-1	mec-12	-0.07205067161515726
ttx-1	pqn-48	0.06475417538172394
ttx-1	ZK1307.1	-0.06412482686670803
ttx-1	lon-2	0.10036753337341334
ttx-1	icl-1	0.06935462784667829
ttx-1	eri-6	-0.06930856579288754
ttx-1	ift-74	-0.10581708595448079
ttx-1	F42G8.19	0.057517245892811805
ttx-1	nlp-31	-0.05731795700915882
