regulatory_gene	target_gene	regulation_strength
ceh-32	F56C9.8	0.11029474034489706
ceh-32	cutl-16	0.3303835333703191
ceh-32	mlc-1	0.27889978802090876
ceh-32	gcy-33	0.262317824463725
ceh-32	zig-7	0.2571553078468463
ceh-32	gcy-34	0.2794012666726134
ceh-32	T19C3.3	0.20084853823448393
ceh-32	srsx-30	0.2605087358699725
ceh-32	T10G3.1	0.056790732171064756
ceh-32	nlp-33	0.24487331597333473
ceh-32	cpl-1	0.21559280561080285
ceh-32	hlh-1	0.25220598892752255
ceh-32	grd-10	0.21131879169871384
ceh-32	plin-1	-0.20306771746282448
ceh-32	tctn-1	0.20869525525541088
ceh-32	let-2	0.19378571863205324
ceh-32	acsd-1	0.22375395261037873
ceh-32	mlc-3	0.19687509785520016
ceh-32	cutl-24	0.19032855538126447
ceh-32	sem-4	0.17345517833102325
ceh-32	hil-4	0.18113523700825263
ceh-32	tmem-231	0.19143075800050874
ceh-32	nlp-29	0.20062932672913295
ceh-32	gst-5	0.1620435751764841
ceh-32	cle-1	0.1629471594842193
ceh-32	lgc-31	0.1966798584042978
ceh-32	col-166	0.15608550739260407
ceh-32	maoc-1	-0.19348529523692448
ceh-32	elt-7	-0.16015632779989122
ceh-32	hsp-12.3	0.1661117745167895
ceh-32	AH9.6	0.14046485715730006
ceh-32	F53B3.3	-0.14308097004781606
ceh-32	C14B9.2	0.1763293146429164
ceh-32	dyf-1	0.1683047520203419
ceh-32	C29F5.1	0.1609981384958123
ceh-32	set-18	0.16390785650639714
ceh-32	deg-1	0.12597934907575248
ceh-32	fbxc-20	0.160372464318573
ceh-32	lec-3	0.16668947018519303
ceh-32	C25D7.15	0.15199000929692505
ceh-32	gpdh-1	0.12967618490588945
ceh-32	Y62F5A.9	0.12215409810258959
ceh-32	lntl-1	0.12700951294977925
ceh-32	Y22D7AL.6	0.15775379436581427
ceh-32	C14A11.5	0.13464698722798188
ceh-32	F47B10.8	0.14657877538230252
ceh-32	cpz-1	-0.12849559022073176
ceh-32	ftn-2	0.13102903340773167
ceh-32	odr-2	0.0546893257609731
ceh-32	Y102A11A.9	0.07893679898745046
ceh-32	C01G5.25	-0.12088241096807091
ceh-32	cnc-3	0.1390303497774512
ceh-32	F57B1.6	0.1466755858606208
ceh-32	ZC443.4	-0.13845919049380845
ceh-32	C53D6.8	0.05075692635105773
ceh-32	max-1	0.1252840955468539
ceh-32	ctg-1	-0.10455548295580286
ceh-32	spp-13	0.05972289180206739
ceh-32	F44E5.4	-0.08087263463650221
ceh-32	unc-43	-0.06484005327418971
ceh-32	cutl-18	-0.07401390745479096
ceh-32	K10D3.6	-0.0557600061175698
ceh-32	hil-5	0.05555528157091836
ceh-32	T13H5.1	0.05736542992563026
ceh-32	tba-9	0.09647092917375989
ceh-32	pat-10	0.06441665791342163
ceh-32	egl-21	-0.054595048497739974
ceh-32	sox-4	0.07010907562817198
ceh-32	rig-6	0.054331740757543434
ceh-32	fkb-7	0.07623730291595583
ceh-32	C26F1.1	0.09547501028146754
ceh-32	pqn-48	0.0807643649540903
ceh-32	eri-6	0.05125008677303728
ceh-32	ift-74	0.0570591210783218
ceh-32	tns-1	0.1803717308580128
ceh-32	F08B12.4	0.05298064980201296
ceh-32	K07C11.4	0.050978041865661974
ceh-32	F46F2.5	0.05265681286261681
ceh-32	spi-1	0.10348178582453178
ceh-32	dao-2	0.050119102034788934
ceh-32	ncam-1	0.06656158499381376
ceh-32	mig-18	0.07373884201086348
ceh-32	grd-5	0.06760077103315526
ceh-32	unc-83	0.07148812249046929
ceh-32	C34E7.4	0.05714505048100385
ceh-32	T10B5.4	-0.05965837315485878
ceh-32	F57F4.4	0.05557344282511817
ceh-32	F14D12.1	0.06140044257525629
ceh-32	mua-3	0.05662699300571581
ceh-32	cki-2	0.05690689524824599
ceh-32	Y48C3A.5	0.05795104032926364
ceh-32	F07C6.4	0.061356323834568925
ceh-32	pmt-2	0.05045988563403021
ceh-32	strl-1	0.054720078975522446
ceh-32	C50B8.4	0.06176012614493283
ceh-32	msa-1	0.050752886969099964
ceh-32	eva-1	0.051155577873793906
ceh-32	F14B4.1	0.05140724794442799
ceh-32	C26B9.3	0.053679736512985056
ceh-32	cla-1	-0.05577486595688752
ceh-32	asp-4	0.0686322371338215
ceh-32	pdl-1	0.055291659677584884
ceh-32	C53A3.2	0.05144427205934664
ceh-32	bbs-8	-0.05411787192750832
ceh-32	ceh-37	0.07808723006954499
ceh-32	pqn-44	-0.053773405952910414
ceh-32	daf-19	-0.05393845686878847
ceh-32	tbc-7	-0.06037808798737848
tbp-1	F56C9.8	0.16342798223964417
tbp-1	cutl-16	0.3469191798440346
tbp-1	mlc-1	0.29462669914815676
tbp-1	gcy-33	0.2885690828646479
tbp-1	zig-7	0.28002777457499906
tbp-1	T19C3.3	0.22495562408828212
tbp-1	cpl-1	0.2332834607215014
tbp-1	hlh-1	0.2601680274887926
tbp-1	grd-10	0.2321527836784999
tbp-1	plin-1	-0.2139369427904858
tbp-1	tctn-1	0.22271849948968575
tbp-1	acsd-1	0.22995839247347027
tbp-1	cutl-24	0.19529360862583672
tbp-1	sem-4	0.19011998778566844
tbp-1	hil-4	0.19692963709092118
tbp-1	tmem-231	0.20000126717597938
tbp-1	nlp-29	0.20424187430476837
tbp-1	gst-5	0.17339984957245447
tbp-1	cle-1	0.17810772780560197
tbp-1	col-166	0.16737709238155535
tbp-1	maoc-1	-0.19561247899529455
tbp-1	elt-7	-0.1732179130479216
tbp-1	AH9.6	0.15919585812759313
tbp-1	F53B3.3	-0.15636492497028648
tbp-1	abts-1	-0.06136540208530722
tbp-1	C14B9.2	0.17926275797593677
tbp-1	dyf-1	0.17438877290654245
tbp-1	deg-1	0.1437338712764186
tbp-1	C25D7.15	0.1599403600830026
tbp-1	gpdh-1	0.14487234861007728
tbp-1	Y62F5A.9	0.1418037265140144
tbp-1	lntl-1	0.13655378265227155
tbp-1	C14A11.5	0.14304195680966153
tbp-1	cpz-1	-0.13427765949042586
tbp-1	ftn-2	0.14943086884934675
tbp-1	K02F2.5	-0.05582353192995641
tbp-1	R102.2	0.06512679956353432
tbp-1	Y102A11A.9	0.09457582956914187
tbp-1	C01G5.25	-0.13547031376669755
tbp-1	tir-1	0.08011170483499572
tbp-1	ceh-16	0.06178431424345898
tbp-1	ZC443.4	-0.14332020029017156
tbp-1	C34D1.4	0.05300185998362101
tbp-1	F41D9.2	-0.05020169417815743
tbp-1	fkb-4	0.08380279279561395
tbp-1	F28E10.1	-0.06963100355590177
tbp-1	max-1	0.13443593461506861
tbp-1	C09F5.1	0.14134389334712016
tbp-1	ctg-1	-0.11536447904462993
tbp-1	fmi-1	0.06480630912078109
tbp-1	spp-13	0.09706022530744277
tbp-1	odr-4	0.10438604123613193
tbp-1	elo-6	-0.05163635592840557
tbp-1	F44E5.4	-0.10414986152045501
tbp-1	clec-1	0.06337850052698293
tbp-1	cey-3	0.10310079348843339
tbp-1	F11D5.1	-0.0713909896117659
tbp-1	chs-1	0.050057359084664216
tbp-1	unc-43	-0.08393315447752042
tbp-1	cutl-18	-0.08709793695986487
tbp-1	osm-11	-0.06660092786025545
tbp-1	osm-5	0.05346137568261818
tbp-1	ZK455.5	-0.06502921857879491
tbp-1	twk-14	0.05708497996083262
tbp-1	K10D3.6	-0.06398931535452494
tbp-1	unc-58	0.08056172648532502
tbp-1	hil-5	0.07453214383456161
tbp-1	tppp-1	-0.07732911696166006
tbp-1	F14B8.5	0.0752252259059023
tbp-1	nlp-57	-0.05832527545567284
tbp-1	qdpr-1	-0.06984921902709673
tbp-1	glb-18	-0.06299498248993476
tbp-1	ttn-1	0.0629541408869527
tbp-1	hil-7	-0.06407360364785551
tbp-1	egl-21	-0.07033966007782866
tbp-1	rig-6	0.05005204483533397
tbp-1	vab-3	0.05615503025767139
tbp-1	cpn-1	-0.05383772533862442
tbp-1	mig-6	-0.07100756509436312
tbp-1	glr-2	-0.050848933367062255
tbp-1	C26F1.1	-0.0721980106679635
tbp-1	fbxb-74	0.05722673878563725
tbp-1	shc-2	0.06741429950655466
tbp-1	K07E3.4	0.0583517510392825
tbp-1	ZK822.1	-0.06957003808526509
tbp-1	mec-12	-0.06876285195905948
