regulatory_gene	target_gene	regulation_strength
ceh-32	F56C9.8	0.1601474037320196
ceh-32	cutl-16	0.4692833892932169
ceh-32	mlc-1	0.3564366098015332
ceh-32	gcy-33	0.3866590202507303
ceh-32	zig-7	0.34805603094168025
ceh-32	gcy-34	0.44549575219192217
ceh-32	T19C3.3	0.11028093590386603
ceh-32	srsx-30	0.3393825606045954
ceh-32	T10G3.1	0.11137146779875895
ceh-32	nlp-33	0.35091111184160007
ceh-32	cpl-1	0.29570014885758533
ceh-32	hlh-1	0.35417326119054865
ceh-32	grd-10	0.3061429855591129
ceh-32	plin-1	-0.31066993714387525
ceh-32	tctn-1	0.33626343423641114
ceh-32	let-2	0.2946744099120261
ceh-32	acsd-1	0.3262401259901241
ceh-32	mlc-3	0.2810612569183112
ceh-32	cutl-24	0.2464655359513201
ceh-32	Y37D8A.16	0.057696473299631054
ceh-32	sem-4	0.24778100107132153
ceh-32	hil-4	0.29727199204069454
ceh-32	tmem-231	0.30562629657425266
ceh-32	nlp-29	0.289707947704444
ceh-32	gst-5	0.2258453789145537
ceh-32	cle-1	0.24825357131175435
ceh-32	lgc-31	0.24801391034743192
ceh-32	col-166	0.21308940988678315
ceh-32	maoc-1	-0.2501906706582823
ceh-32	elt-7	-0.22968125105225512
ceh-32	hsp-12.3	0.26300094260191775
ceh-32	AH9.6	0.22737986833460405
ceh-32	F53B3.3	-0.197327158138987
ceh-32	abts-1	-0.06656186654190711
ceh-32	C14B9.2	0.22264759358635983
ceh-32	dyf-1	0.22595193494521404
ceh-32	C29F5.1	0.23218524435019555
ceh-32	set-18	0.23545824723130448
ceh-32	deg-1	0.21809850452377774
ceh-32	fbxc-20	0.23927468882759756
ceh-32	lec-3	0.24266841930863553
ceh-32	C25D7.15	0.2373718561453863
ceh-32	lips-10	0.0771857431039155
ceh-32	gpdh-1	0.19254662318383037
ceh-32	Y62F5A.9	0.20019955339116774
ceh-32	Y22D7AL.6	0.2014548912873444
ceh-32	C14A11.5	0.07769714635980599
ceh-32	cex-2	0.05594264826925389
ceh-32	F47B10.8	0.10419878674359317
ceh-32	spp-22	-0.10508609251187638
ceh-32	ftn-2	0.0891100881416761
ceh-32	odr-2	0.21029494383392963
ceh-32	C01G5.25	-0.2109313361634091
ceh-32	lact-2	0.07215280517095665
ceh-32	cnc-3	0.20108382475408043
ceh-32	F57B1.6	0.20764091457087386
ceh-32	ZC443.4	-0.13500683953143247
ceh-32	F41D9.2	0.13271277659871922
ceh-32	fkb-4	0.1644631036134824
ceh-32	max-1	0.14640044597715776
ceh-32	fmi-1	0.156397524233716
ceh-32	spp-13	0.08480820103512977
ceh-32	odr-4	0.06352255832787682
ceh-32	F44E5.4	-0.11948154898788524
ceh-32	ceh-27	-0.11564506777715972
ceh-32	elf-1	-0.07599101314665015
ceh-32	cey-3	-0.05999934042549192
ceh-32	F11D5.1	-0.07193744844485468
ceh-32	unc-43	-0.15105373934955746
ceh-32	cutl-18	-0.15411273844985157
ceh-32	osm-5	0.10396430890380585
