regulatory_gene	target_gene	regulation_strength
ceh-32	F56C9.8	0.14865588660174398
ceh-32	cutl-16	0.4446730450328982
ceh-32	mlc-1	0.3589039152853567
ceh-32	gcy-33	0.3517855243184677
ceh-32	zig-7	0.3389222024755152
ceh-32	gcy-34	0.37710593804427495
ceh-32	syd-9	-0.06955132644514686
ceh-32	srsx-30	0.29856775658926915
ceh-32	nlp-33	0.30761827929874264
ceh-32	cpl-1	0.2828218102192894
ceh-32	hlh-1	0.3339788338350411
ceh-32	grd-10	0.2821979796190948
ceh-32	plin-1	-0.28109213535724564
ceh-32	tctn-1	0.26874142329633965
ceh-32	let-2	0.309305803321932
ceh-32	acsd-1	0.25966051657134204
ceh-32	mlc-3	0.2479980680735146
ceh-32	cutl-24	0.23609661196088721
ceh-32	Y37D8A.16	0.07737121860430107
ceh-32	sem-4	0.22652195531969832
ceh-32	hil-4	0.21174448083990505
ceh-32	tmem-231	0.24187923362626967
ceh-32	nlp-29	0.23007581556610623
ceh-32	gst-5	0.21521001157674668
ceh-32	cle-1	0.2175584298398835
ceh-32	lgc-31	0.2618103647086829
ceh-32	col-166	0.2081785815634436
ceh-32	maoc-1	-0.20954727442725002
ceh-32	elt-7	-0.21019473192022792
ceh-32	hsp-12.3	0.25023549752517
ceh-32	AH9.6	0.19213876256075643
ceh-32	F53B3.3	-0.18472144563309634
ceh-32	abts-1	-0.05508461257636313
ceh-32	C14B9.2	0.17287986328587743
ceh-32	dyf-1	0.21191692180384497
ceh-32	C29F5.1	0.22879875890086873
ceh-32	set-18	0.21806262008456237
ceh-32	deg-1	0.21452912422739578
ceh-32	fbxc-20	0.23488608230075506
ceh-32	lec-3	0.21516205483714823
ceh-32	C25D7.15	0.2125961980170754
ceh-32	cpr-6	0.0698137994962628
ceh-32	gpdh-1	0.19982087473078639
ceh-32	Y62F5A.9	0.17307337125210975
ceh-32	hgo-1	-0.05951392680202656
ceh-32	Y22D7AL.6	0.17497970182167447
ceh-32	C14A11.5	0.051357025750070506
ceh-32	dhs-8	-0.07055018862594903
ceh-32	F47B10.8	0.17300113674840656
ceh-32	cpz-1	-0.10405627382286955
ceh-32	K02F2.5	-0.08565007375343009
ceh-32	R102.2	0.0766715020115104
ceh-32	Y102A11A.9	0.052998285066486406
ceh-32	C01G5.25	-0.16095713807060935
ceh-32	tir-1	0.06263323453918762
ceh-32	cnc-3	0.19859333266812795
ceh-32	F57B1.6	0.1916216346932008
ceh-32	ZC443.4	-0.15522320865224631
ceh-32	max-1	0.09513234450282171
ceh-32	ctg-1	-0.08363388776590244
ceh-32	fmi-1	0.08802444214964268
ceh-32	spp-13	0.05156681921663553
ceh-32	odr-4	0.12684466097100544
ceh-32	elo-6	0.37385410099203026
ceh-32	F44E5.4	-0.056105049037246446
ceh-32	ttr-1	-0.053154606574736134
ceh-32	unc-43	-0.11661073341952766
ceh-32	cutl-18	-0.07887373678400772
ceh-32	hil-5	0.08508186487377484
ceh-32	fasn-1	-0.059722295720435345
ceh-32	tba-9	0.14359608353852824
ceh-32	F14B8.5	0.07894940453222607
ceh-32	pat-10	0.05896114555873604
ceh-32	nphp-4	0.09776542445766748
ceh-32	nlp-57	-0.05585326930426538
ceh-32	ttn-1	0.09136554245360798
ceh-32	egl-21	-0.08472512755786658
ceh-32	sox-4	0.050046219924175225
ceh-32	rig-6	0.07680406359798826
ceh-32	cpn-1	-0.052673805147552405
ceh-32	F14B8.6	0.07395619011203494
ceh-32	F32D8.7	-0.054268824345972994
ceh-32	fkb-7	0.059015000854861596
ceh-32	F43C9.2	-0.05475692100584579
ceh-32	fbxb-74	0.10963137334350534
ceh-32	shc-2	0.053430071318667574
ceh-32	ZK822.1	-0.06193587385970459
ceh-32	R02E12.4	0.062422670638252506
ceh-32	ZK1307.1	-0.0748451015208963
ceh-32	icl-1	0.05409611364341227
ceh-32	eri-6	0.09360496561229174
ceh-32	F42G8.19	0.05776689099688757
ceh-32	nlp-31	-0.09142124418761534
ceh-32	F54E4.3	0.08823842585703336
ceh-32	egl-13	0.07594222824208345
ceh-32	B0228.1	0.0573153661743012
ceh-32	sym-1	0.05102132780274034
ceh-32	hmit-1.3	0.06541125362387601
ceh-32	F08B12.4	0.07092230642368874
ceh-32	K07C11.4	0.052437560884136876
ceh-32	tbx-2	0.08420809473447627
ceh-32	hrg-3	0.23106063643343555
ceh-32	ZK287.1	0.058892718711933245
ceh-32	F46F2.5	0.057501539527480855
ceh-32	dao-2	0.0815620212860114
ceh-32	ncam-1	0.05934543063403949
ceh-32	pgal-1	-0.075137646454034
ceh-32	mig-1	0.07785604575244981
ceh-32	mig-18	0.09182964742055165
ceh-32	grd-5	0.07645899347652768
ceh-32	C18A11.1	0.089647219512059
ceh-32	unc-83	0.12213717406668945
ceh-32	C34E7.4	0.060044827732673
ceh-32	F48D6.4	-0.06356866605377702
ceh-32	cab-1	0.07866702571675434
ceh-32	T10B5.4	-0.07583312589988589
ceh-32	che-13	0.08669699654424155
ceh-32	F57F4.4	0.07098273743843822
ceh-32	M153.4	0.05577431429135252
ceh-32	F14D12.1	0.0876160424570249
ceh-32	mua-3	0.48695717854818027
ceh-32	C08G9.1	-0.0930325718907958
ceh-32	zig-8	0.053373262557325205
ceh-32	ZK643.2	0.07020804450592766
ceh-32	cki-2	0.05746446598848278
ceh-32	Y48C3A.5	0.08243997649158878
ceh-32	lpr-4	0.05774613086673885
ceh-32	C13F10.1	-0.05443702631636752
ceh-32	T14B1.1	-0.05001564266352825
ceh-32	F07C6.4	0.08837506927521888
ceh-32	sol-1	-0.05015989066584978
ceh-32	ets-5	0.3461837697129934
ceh-32	ceh-31	0.06169838153789026
ceh-32	strl-1	0.06292820550246327
ceh-32	C50B8.4	0.05004450534100496
ceh-32	unc-15	-0.057538057164153014
ceh-32	ast-1	0.08672647492794608
ceh-32	swip-10	0.05784925429796105
