regulatory_gene	target_gene	regulation_strength
ceh-32	F56C9.8	0.11196120913556884
ceh-32	cutl-16	0.4682197180565011
ceh-32	mlc-1	0.3625276329898962
ceh-32	gcy-33	0.3797833846619622
ceh-32	zig-7	0.35874715186439815
ceh-32	gcy-34	0.35740684589392524
ceh-32	syd-9	-0.05931225620007138
ceh-32	srsx-30	0.3267363070784759
ceh-32	T10G3.1	0.10695844970863966
ceh-32	nlp-33	0.3079564093104892
ceh-32	cpl-1	0.2964998431385317
ceh-32	hlh-1	0.3036010409709159
ceh-32	grd-10	0.30602101221634975
ceh-32	plin-1	-0.29284223601194614
ceh-32	tctn-1	0.2549573708379583
ceh-32	let-2	0.23405070740267225
ceh-32	acsd-1	0.24054286324702095
ceh-32	mlc-3	0.23919233328374362
ceh-32	cutl-24	0.25026318011066645
ceh-32	Y37D8A.16	-0.10815923072042116
ceh-32	sem-4	0.2559712734574112
ceh-32	hil-4	0.23868582138377117
ceh-32	tmem-231	0.24101699243926356
ceh-32	nlp-29	0.23240393736561457
ceh-32	gst-5	0.22851510328284094
ceh-32	cle-1	0.23771258100618484
ceh-32	lgc-31	0.20057528185002904
ceh-32	col-166	0.21615922931105125
ceh-32	maoc-1	-0.21451633881791915
ceh-32	elt-7	-0.23692649334997712
ceh-32	hsp-12.3	0.1958782998501047
ceh-32	AH9.6	0.2120358506984849
ceh-32	F53B3.3	-0.2011342336383205
ceh-32	abts-1	-0.07915746982581989
ceh-32	C14B9.2	0.1884044263369045
ceh-32	dyf-1	0.20889591511283875
ceh-32	C29F5.1	0.22592860633269626
ceh-32	set-18	0.18961236143708154
ceh-32	deg-1	0.1802384677341289
ceh-32	fbxc-20	0.19455685992694371
ceh-32	lec-3	0.17994023184893237
ceh-32	C25D7.15	0.18432272344435627
ceh-32	cpr-6	0.059133321222176176
ceh-32	lips-10	0.0626172382597135
ceh-32	gpdh-1	0.1888758982799713
ceh-32	Y62F5A.9	0.18710547875356573
ceh-32	lntl-1	0.1823302479081358
ceh-32	Y22D7AL.6	0.18793615693947827
ceh-32	C14A11.5	0.17501400534868858
ceh-32	F47B10.8	0.16893662357315803
ceh-32	cpz-1	-0.16131646646743286
ceh-32	spp-22	0.09998330745189865
ceh-32	ftn-2	0.1460339662117518
ceh-32	K02F2.5	-0.1596252737460766
ceh-32	R102.2	0.15613216816833658
ceh-32	Y102A11A.9	0.1604389243903434
ceh-32	C01G5.25	-0.1746823845982338
ceh-32	tir-1	0.09831381043706054
ceh-32	cnc-3	0.16980636955475215
ceh-32	ceh-16	0.148044781401441
ceh-32	F57B1.6	0.16342478634482646
ceh-32	ZC443.4	-0.16161412381168214
ceh-32	F41D9.2	-0.05835831294146612
ceh-32	F28E10.1	-0.11269470347303182
ceh-32	C53D6.8	-0.06583099028408904
ceh-32	max-1	0.07661320620325528
ceh-32	ctg-1	-0.14162843502639327
ceh-32	fmi-1	0.06784103058043062
ceh-32	spp-13	0.1029273325750709
ceh-32	odr-4	0.055284886227237005
ceh-32	elo-6	-0.06477759952854166
ceh-32	F44E5.4	-0.13715556994219852
ceh-32	ttr-1	-0.08574987672656642
ceh-32	clec-1	0.06193708695238157
ceh-32	unc-43	-0.14852174362228354
ceh-32	cutl-18	-0.144561491550956
ceh-32	asns-2	-0.06130115347968172
ceh-32	unc-58	0.055290625272784714
ceh-32	hil-5	0.09891936399854966
ceh-32	T13H5.1	0.07649719129408326
ceh-32	tba-9	0.12814109460640064
ceh-32	F14B8.5	0.06137005229667476
ceh-32	pat-10	0.12717983905105187
ceh-32	nphp-4	0.0661005048358304
ceh-32	nlp-57	-0.050062663652929426
ceh-32	hot-4	0.0525177418660603
ceh-32	glb-18	-0.0747628830970568
ceh-32	ptd-2	0.051745835482641965
ceh-32	hil-7	-0.12404675043382557
ceh-32	egl-21	-0.07579595277672035
ceh-32	F53A9.8	0.12137191770322259
ceh-32	rig-6	0.10713033435696606
ceh-32	cpn-1	-0.08175676925406938
ceh-32	hsp-70	0.05707765769535573
